"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_rare_shape_loops","comprehension_visits","rt","view_history","shapes","occluder","options","response","rare_option","RT","confidence","confidence_RT","question_order"
"","","","","","jsShapes","13","122468","0.0-3.0-0.10","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[4,0]","right","[1,2]","1","false","3110.800000190735","0.6488888888888888","1057.0999999046326",""
"","","","","","jsShapes","14","126385","0.0-3.0-0.11","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[4,4]","left","[4,0]","1","false","3004.2999999523163","1","900.5999999046326",""
"","","","","","jsShapes","15","130551","0.0-3.0-0.12","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[4,3]","left","[3,0]","1","false","3256.7999999523163","0.9644444444444444","897.3999998569489",""
"","","","","","jsShapes","16","135301","0.0-3.0-0.13","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[4,3]","right","[0,1]","1","false","3603.5","0.9044444444444444","1136.2999999523163",""
"","","","","","jsShapes","17","140100","0.0-3.0-0.14","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[0,1]","right","[1,4]","0","false","3910.2000000476837","0","880",""
"","","","","","jsShapes","18","143551","0.0-3.0-0.15","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[0,1]","left","[2,0]","1","false","2677.9000000953674","0.47777777777777775","758.0999999046326",""
"","","","","","instructions","19","152539","0.0-4.0","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","8988","[{""page_index"":0,""viewing_time"":8987}]","","","","","","","","",""
"","","","","","survey-multi-choice","20","158668","0.0-5.0-1.0-0.0","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","6129","","","","","{""multichoice_rare_shape"":""2. Much less likely than all other shapes.""}","","","","","[0]"
"","","","","","instructions","21","166083","0.0-6.0","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","7413","[{""page_index"":0,""viewing_time"":7413}]","","","","","","","","",""
"","","","","","jsShapes","22","170666","0.0-7.0-0.0","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[2,2]","left","[0,5]","1","true","3658.7000000476837","0.015555555555555545","908.3999998569489",""
"","","","","","survey-text","23","173688","0.0-8.0","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","3017","","","","","{""worker_comments"":""""}","","","","",""
