"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"","","jsShapes","4","59835","0.0-2.0-0.2","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[4,2]","left","[0,1]","1","9231","0.007407407407407418","1812"
"","","jsShapes","5","66618","0.0-2.0-0.3","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[0,1]","left","[2,0]","1","5009","0","1760"
"","","jsShapes","6","71951","0.0-2.0-0.4","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[2,0]","left","[1,0]","0","3399","0","1930"
"","","jsShapes","7","79134","0.0-2.0-0.5","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[0,1]","left","[0,1]","0","5522","0","1650"
"","","jsShapes","8","86034","0.0-2.0-0.6","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[3,2]","right","[1,0]","0","5389","0","1496"
"","","jsShapes","9","92450","0.0-2.0-0.7","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[0,1]","right","[1,0]","0","4279","0.46851851851851856","2121"
"","","jsShapes","10","102901","0.0-2.0-0.8","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[0,1]","left","[0,2]","0","10238","",""
"","","jsShapes","11","109933","0.0-2.0-0.9","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[0,1]","right","[1,0]","0","5078","0.4722222222222222","1939"
"","","jsShapes","12","115650","0.0-2.0-0.10","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[2,2]","right","[0,1]","1","4064","0","1646"
"","","jsShapes","13","122417","0.0-2.0-0.11","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[2,4]","left","[3,0]","1","4785","0.5074074074074074","1969"
"","","jsShapes","14","127383","0.0-2.0-0.12","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[1,3]","left","[0,2]","0","4753","",""
"","","jsShapes","15","136664","0.0-2.0-0.13","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[0,1]","right","[4,1]","1","7361","0.4185185185185185","1907"
"","","jsShapes","16","142561","0.0-2.0-0.14","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[0,1]","left","[1,0]","1","4048","0.1518518518518519","1840"
"","","jsShapes","17","148210","0.0-2.0-0.15","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[4,4]","right","[1,2]","0","4239","0.312962962962963","1406"
"","28188","survey-text","18","176398","0.0-3.0","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","","","","{""worker_comments"":""only thing I thought was that there may be no pairs""}","","",""
"","5019","instructions","19","181418","0.0-4.0","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","[{""page_index"":0,""viewing_time"":5019}]","","","","","","",""
"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","8726","fullscreen","0","9730","0.0-0.0","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","","","","","","","",""
"","47539","instructions","1","57271","0.0-1.0","6634029edb43a7b3766d0f53","62d2bca2c9485e173382c839","66340692e972bd1bb88045bc","[{""page_index"":0,""viewing_time"":15751},{""page_index"":1,""viewing_time"":26464},{""page_index"":2,""viewing_time"":5324}]","","","","","","",""
